Name,Type,Status,City,State_Province,Country,Latitude,Longitude,Google,Website,Facebook,Instagram,URL,Yelp,TripAdvisor,Untappd,GLINTCAP,ShopCiders,Alternate_Name,TTB
Slyboro Ciderhouse,Producer,Active,Granville,New York,USA,43.411532,-73.330994,https://maps.google.com/?cid=15135981072993122340,https://www.slyborociderhouse.com/,,,https://www.slyborociderhouse.com/,https://www.yelp.com/biz/hicks-orchard-granville,https://www.tripadvisor.com/Attraction_Review-g47814-d7138901,https://untappd.com/w/slyboro-cider-house/18728,http://glintcap.org/slyboro-ciderhouse/,https://shopciders.com/slyboro_ciderhouse,,NY-W-15037
Smith & Forge Hard Cider,Producer,Active,Memphis,Tennessee,USA,35.032843,-89.892107,https://maps.google.com/?cid=16597724238452605128,http://www.smithandforgehardcider.com/,,,http://www.smithandforgehardcider.com/,,,https://untappd.com/w/uncharted-cider-company/120281,,,,
Snow Capped Cider,Producer,Active,Cedaredge,Colorado,USA,38.898619,-107.924961,https://maps.google.com/?cid=373602255640136887,http://www.snowcappedcider.com/,,https://www.instagram.com/snowcappedcider/,http://www.snowcappedcider.com/,,,https://untappd.com/w/snow-capped-cider/130549,http://glintcap.org/snow-capped-cider/,https://shopciders.com/snow_capped_cider,,CO-W-21006
Snowdrift Cider Co.,Producer,Active,East Wenatchee,Washington,USA,47.400586,-120.178628,https://maps.google.com/?cid=18339570792633761066,http://www.snowdriftcider.com/,,https://www.instagram.com/snowdriftciderco/,http://www.snowdriftcider.com/,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,http://glintcap.org/snowdrift-cider-co/,https://shopciders.com/snowdrift_cider_co,,WA-W-15442
Snow-Line Orchard,Producer,Active,Yucaipa,California,USA,34.044384,-116.947902,https://maps.google.com/?cid=1665161655546087409,http://snow-line.com/,,,http://snow-line.com/,https://www.yelp.com/biz/snow-line-orchard-yucaipa,https://www.tripadvisor.com/Attraction_Review-g32803-d4819238,https://untappd.com/w/snowline-orchard/182215,,,,
Sociable Cider Werks,Producer,Active,Minneapolis,Minnesota,USA,45.004474,-93.244099,https://maps.google.com/?cid=277231203081257241,http://sociablecider.com/,,https://www.instagram.com/sociablecider/,http://sociablecider.com/,https://www.yelp.com/biz/sociable-cider-werks-minneapolis,https://www.tripadvisor.com/Restaurant_Review-g43323-d5964620,https://untappd.com/w/sociable-cider-werks/94153,,,,
Somerset Ridge Vineyard & Winery,Producer,Active,Paola,Kansas,USA,38.588314,-94.769208,https://maps.google.com/?cid=12321307277709757096,http://somersetridge.com/,,,http://somersetridge.com/,https://www.yelp.com/biz/somerset-ridge-vineyard-and-winery-paola,https://www.tripadvisor.com/Attraction_Review-g3597772-d3596895,https://untappd.com/w/somerset-ridge-vineyard-and-winery/279665,,https://shopciders.com/somerset_ridge_vineyard_winery,,
Sonder Brewing,Producer,Active,Mason,Ohio,USA,39.313287,-84.301962,https://maps.google.com/?cid=1270042209418140472,https://sonderbrewing.com/,,,https://sonderbrewing.com/,https://www.yelp.com/biz/sonder-brewing-mason-2,https://www.tripadvisor.com/Attraction_Review-g50618-d15326620,https://untappd.com/w/sonder-brewing/364580,,,,OH-W-21200
Sons of Toil Brewing,Producer,Active,Mount Orab,Ohio,USA,39.027018,-83.8774,https://maps.google.com/?cid=11128703109803251125,https://www.sonsoftoilbrewing.com/,,,https://www.sonsoftoilbrewing.com/,https://www.yelp.com/biz/sons-of-toil-brewing-mount-orab,https://www.tripadvisor.com/Attraction_Review-g50696-d15038368,https://untappd.com/w/sons-of-toil-brewing/321515,,,,OH-W-21150
Soquel Cider,Producer,Active,Soquel,California,USA,37.015707,-121.951697,https://maps.google.com/?cid=10056858576597960489,http://everettfamilyfarm.com/,,,http://everettfamilyfarm.com/,https://www.yelp.com/biz/everett-family-farm-soquel,,https://untappd.com/w/soquel-cider/278869,,,Everett Family Farm,
South Hill Cider,Producer,Active,Ithaca,New York,USA,42.3915,-76.522136,https://maps.google.com/?cid=12183207821191518039,http://www.southhillcider.com/,https://www.facebook.com/SouthHillCider,https://www.instagram.com/southhillcider/,http://www.southhillcider.com/,https://www.yelp.com/biz/south-hill-cider-ithaca,https://www.tripadvisor.com/Attraction_Review-g47958-d19354538,https://untappd.com/w/south-hill-cider/162707,,https://shopciders.com/south_hill_cider,,
Spoke + Spy Ciderworks,Producer,Active,Middletown,Connecticut,USA,41.572063,-72.657709,https://maps.google.com/?cid=4011737661305086248,http://spokeandspy.com/,,https://www.instagram.com/spokeandspy/,http://spokeandspy.com/,https://www.yelp.com/biz/spoke-spy-ciderworks-middletown,,https://untappd.com/w/spoke-spy-ciderworks/366112,https://glintcap.org/spoke-spy-ciderworks/,,,CT-W-21017
Sprecher Brewing Company,Producer,Active,Milwaukee,Wisconsin,USA,43.09965,-87.919663,https://maps.google.com/?cid=16020609541580743649,http://www.sprecherbrewery.com/,,,http://www.sprecherbrewery.com/,https://www.yelp.com/biz/sprecher-brewing-company-milwaukee,https://www.tripadvisor.com/Attraction_Review-g59917-d2225425,https://untappd.com/w/sprecher-brewing-company/3953,,,,
